                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                0.51196,                0.33599,                0.91472,                0.93223,                   0.75,                0.91167,                0.63261,                  1.352,                0.79529,                 1.8153,              0.0012212,              0.0012212,              0.0012212
                    120,                0.48386,                0.32161,                0.90872,                 0.8856,                   0.75,                0.88786,                0.64047,                 1.3647,                0.99276,                 1.8532,              0.0012146,              0.0012146,              0.0012146
                    121,                0.50774,                0.35308,                0.94239,                 0.8856,                   0.75,                0.88786,                0.64047,                 1.3647,                0.99276,                 1.8532,               0.001208,               0.001208,               0.001208
                    122,                0.47487,                0.29544,                0.95399,                0.72401,                   0.75,                0.77341,                0.55575,                 1.4295,                 1.2603,                 1.9534,              0.0012014,              0.0012014,              0.0012014
                    123,                 0.5261,                0.33828,                0.96389,                0.72401,                   0.75,                0.77341,                0.55575,                 1.4295,                 1.2603,                 1.9534,              0.0011948,              0.0011948,              0.0011948
                    124,                0.52488,                0.33494,                0.91313,                0.73404,                   0.75,                0.75393,                0.49232,                  1.499,                 1.2698,                 2.0625,              0.0011882,              0.0011882,              0.0011882
                    125,                0.46961,                0.31198,                0.88012,                0.73404,                   0.75,                0.75393,                0.49232,                  1.499,                 1.2698,                 2.0625,              0.0011816,              0.0011816,              0.0011816
                    126,                0.56675,                0.32969,                0.99253,                0.74022,                   0.75,                0.75393,                0.46559,                 1.5567,                 1.3135,                 2.1096,               0.001175,               0.001175,               0.001175
                    127,                0.48423,                0.32213,                0.92309,                0.74022,                   0.75,                0.75393,                0.46559,                 1.5567,                 1.3135,                 2.1096,              0.0011684,              0.0011684,              0.0011684
                    128,                0.46349,                0.31983,                0.93025,                0.74188,                   0.75,                0.77341,                0.46843,                 1.6734,                 1.3389,                 2.1875,              0.0011618,              0.0011618,              0.0011618
                    129,                0.46317,                0.29065,                0.88263,                0.74188,                   0.75,                0.77341,                0.46843,                 1.6734,                 1.3389,                 2.1875,              0.0011552,              0.0011552,              0.0011552
                    130,                0.45326,                0.30584,                0.89833,                0.79278,                0.96391,                  0.895,                0.56158,                 1.7129,                 1.2359,                 2.2596,              0.0011486,              0.0011486,              0.0011486
                    131,                0.40073,                0.27549,                0.93549,                0.79278,                0.96391,                  0.895,                0.56158,                 1.7129,                 1.2359,                 2.2596,               0.001142,               0.001142,               0.001142
                    132,                0.49424,                0.32128,                0.90679,                0.79509,                0.97545,                  0.895,                0.52109,                 1.6835,                 1.1623,                 2.2579,              0.0011354,              0.0011354,              0.0011354
                    133,                0.50645,                0.31163,                0.97033,                0.79509,                0.97545,                  0.895,                0.52109,                 1.6835,                 1.1623,                 2.2579,              0.0011288,              0.0011288,              0.0011288
                    134,                0.41503,                0.29519,                0.91631,                0.73763,                   0.75,                0.84917,                0.54603,                 1.5817,                 1.0738,                  2.158,              0.0011222,              0.0011222,              0.0011222
                    135,                0.42322,                 0.3113,                0.85208,                0.73763,                   0.75,                0.84917,                0.54603,                 1.5817,                 1.0738,                  2.158,              0.0011156,              0.0011156,              0.0011156
                    136,                 0.5052,                0.31815,                0.98372,                0.74231,                   0.75,                0.91167,                0.56653,                 1.5305,                0.96982,                 2.1065,               0.001109,               0.001109,               0.001109
                    137,                 0.4596,                0.30268,                0.91126,                0.74231,                   0.75,                0.91167,                0.56653,                 1.5305,                0.96982,                 2.1065,              0.0011024,              0.0011024,              0.0011024
                    138,                 0.4452,                0.33532,                0.89196,                0.79661,                0.98305,                  0.945,                0.61885,                 1.4943,                0.89608,                 2.0778,              0.0010958,              0.0010958,              0.0010958
                    139,                0.43072,                0.29098,                0.91145,                0.79661,                0.98305,                  0.945,                0.61885,                 1.4943,                0.89608,                 2.0778,              0.0010892,              0.0010892,              0.0010892
                    140,                0.45266,                0.30504,                0.93159,                0.79826,                0.99132,                  0.945,                0.64227,                  1.474,                0.80179,                 2.0611,              0.0010826,              0.0010826,              0.0010826
                    141,                0.42158,                 0.2878,                0.88664,                0.79826,                0.99132,                  0.945,                0.64227,                  1.474,                0.80179,                 2.0611,               0.001076,               0.001076,               0.001076
                    142,                0.47827,                0.33905,                0.97341,                0.65859,                      1,                0.91167,                0.63033,                  1.512,                0.78267,                 2.0654,              0.0010694,              0.0010694,              0.0010694
                    143,                0.50185,                0.33502,                 0.9782,                0.65859,                      1,                0.91167,                0.63033,                  1.512,                0.78267,                 2.0654,              0.0010628,              0.0010628,              0.0010628
                    144,                0.44404,                0.31171,                0.91804,                0.66282,                      1,                0.91167,                0.62794,                  1.495,                0.70767,                  2.028,              0.0010562,              0.0010562,              0.0010562
                    145,                0.47336,                0.32946,                0.91274,                0.66282,                      1,                0.91167,                0.62794,                  1.495,                0.70767,                  2.028,              0.0010496,              0.0010496,              0.0010496
                    146,                0.38434,                0.26181,                0.89289,                0.92894,                   0.75,                0.91167,                 0.5996,                 1.5142,                0.67685,                 2.0263,               0.001043,               0.001043,               0.001043
